path,role,rows,columns,sha256,column_names
data/external/sentences_dataset_45269.csv,source dataset,45268,3,41b5a6dc2c4fd943f10ad5f50496692e968f4cd9a9dfcbce19b3188b8fb82c78,sentence | is_citation | polarity
data/processed/Final_Master_results_with_features.csv,processed/intermediate dataset,5661,39,e6b2c63990d903f5212ab93ef0ec46dbb678e0b9ef8e0caa6c24ec5dee69be39,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist
data/processed/Hyperparameters.csv,processed/intermediate dataset,6,23,82679d364cb028ff92b57197f418dc3074d3f7e1b76d274247a43fb70d28a5c6,Unnamed: 0 | MODEL | ARCHITECTURE | BATCH SIZE | TRAINING TIME | WARMUP STEPS | WARMUP RATIO | LR | MAX LENGTH | SEED | EPOCHS USER INPUT | BEST EPOCH  | PATIENCE | WEIGHT DECAY | LOGGING STEPS | GRADIENT ACCUMULATION STEPS | MAX GRAD NORM | PRECISION | RECALL | MACRO-F1 | ACCURACY | PRODUCED | GPU TYPE
data/processed/Master_results.csv,processed/intermediate dataset,5661,21,9cac90440beb525258d73d5f181bf6c7c32be992681b62e3d72fbbc6495df9f8,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth
data/processed/Master_results_with_features.csv,processed/intermediate dataset,5661,21,9cac90440beb525258d73d5f181bf6c7c32be992681b62e3d72fbbc6495df9f8,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth
data/processed/Step3_Final_Dataset_with_HI_Scores.csv,processed/intermediate dataset,2156,52,5b8fc19f6495e51149db30aded40735d8998eb9a594246610e1b3707a72c44f4,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist | BART_is_error | T5_is_error | SciBERT_is_error | RoBERTa_is_error | DeepSeek_is_error | LLaMA3_is_error | Negation_Norm | BART_HI_Score | T5_HI_Score | SciBERT_HI_Score | RoBERTa_HI_Score | DeepSeek_HI_Score | LLaMA3_HI_Score
data/processed/dataset_with_HPI_global_sentence_level.csv,processed/intermediate dataset,2156,54,b620c02948631d62d64703273f4193cf6bfbe746b199db0cdcf7cc2e5283775f,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist | BART_is_error | T5_is_error | SciBERT_is_error | RoBERTa_is_error | DeepSeek_is_error | LLaMA3_is_error | Negation_Norm | BART_HI_Score | T5_HI_Score | SciBERT_HI_Score | RoBERTa_HI_Score | DeepSeek_HI_Score | LLaMA3_HI_Score | Global_Gap | HPI_global
data/processed/dataset_with_HPI_global_sentence_level_only_real_citations.csv,processed/intermediate dataset,1128,54,373a1d96ee1746c27123b659217b1f690a9b730e87306ef1f5dddd43a5824662,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist | BART_is_error | T5_is_error | SciBERT_is_error | RoBERTa_is_error | DeepSeek_is_error | LLaMA3_is_error | Negation_Norm | BART_HI_Score | T5_HI_Score | SciBERT_HI_Score | RoBERTa_HI_Score | DeepSeek_HI_Score | LLaMA3_HI_Score | Global_Gap | HPI_global
data/processed/logs/loss_ALBERT.csv,training log,5,3,9626db70152e0e7d29263e2f9321954e63afa03bbe589fdbde174fb204bb8ffe,epoch | train_loss | val_loss
data/processed/logs/loss_BERT.csv,training log,5,3,6a19242b9ea938d1af53ffb63e51b6cd8ba914f1c32b4604ac8ab0e8908d3af3,epoch | train_loss | val_loss
data/processed/logs/loss_CNN.csv,training log,10,3,bffa6a78d4e86f5cbc9c970c0fa2f2fd0a2761b1aac0796f5462593dec4f81de,epoch | train_loss | val_loss
data/processed/logs/loss_CNN_V2.csv,training log,6,3,d0a60b85b1c2d835c65a7b5a68ab0b2276c1882fe4f16b2aff154d491fce12f9,epoch | train_loss | val_loss
data/processed/logs/loss_DeBERTa.csv,training log,8,3,218cf8214b77a9b5b43e0f31fc2a6bf1efab7ec6b7a7d778238f10dc584f2faf,epoch | train_loss | val_loss
data/processed/logs/loss_DeepSeek.csv,training log,10,3,f8267b2178d21af8f6314599f8de108278206292bb87ad6f488d65a5184796b9,epoch | train_loss | val_loss
data/processed/logs/loss_DistilBERT.csv,training log,5,3,9b64b7e6f00cf6ab8a958493a44432b2184a1fbb2f5980caa95841ad9904c962,epoch | train_loss | val_loss
data/processed/logs/loss_ELECTRA.csv,training log,5,3,b083fe763abfcb220488d4197195f383234e8ed41d496ef1b8cea0b1e09d5344,epoch | train_loss | val_loss
data/processed/logs/loss_Falcon.csv,training log,7,3,962d71d161f657e251a14ce4511ec9fea72c29bba637288fd0b65b332104fc80,epoch | train_loss | val_loss
data/processed/logs/loss_GEMMA.csv,training log,7,3,4432ed5d85d8ef0b3212688124949bd9bf4390063fc468dcace9fb07ca9ac3ae,epoch | train_loss | val_loss
data/processed/logs/loss_GPT_2.csv,training log,10,3,3a91c1ce4e249d521d549340490f57662c34652a3b98848d5bbfdcf5f8ffb284,epoch | train_loss | val_loss
data/processed/logs/loss_GPT_Neo.csv,training log,41,3,1b7c672a631172aed444cab6c0b31ae5410b40afe0f7d2d5893587abf894da74,epoch | train_loss | val_loss
data/processed/logs/loss_LLaMA_3.csv,training log,7,3,63302fbc193cdaf1624965d88efcc4621da27d7753b6d532180f19051b32a5a5,epoch | train_loss | val_loss
data/processed/logs/loss_RoBERTa.csv,training log,5,3,58a20c4169952f8c487e6bad85844e5b6ceacdd128a3814bd65372e6dbb5c45f,epoch | train_loss | val_loss
data/processed/logs/loss_SciBERT.csv,training log,4,3,6246c919456682b1f9026cb68e6af377e1878f1fe2860678a15bd4cd4324cdf5,epoch | train_loss | val_loss
data/processed/logs/loss_XLNet.csv,training log,4,3,2fe6f3ca5651a674808c163e7c6f6c1f48050faac861b36c14e2fd56c696f097,epoch | train_loss | val_loss
data/processed/logs/loss_facebook_bart-large.csv,training log,6,3,bd88a0fb3416eb0f407d7499e2ab7ee669bedae49ddddd71c5351bf717858ee0,epoch | train_loss | val_loss
data/processed/logs/loss_t5-base.csv,training log,8,3,07761cc66408fcae661ba2f6ae4d2168aa05311e3c32a25c9a01ca9bd73fde2d,epoch | train_loss | val_loss
data/processed/logs/loss_t5-large.csv,training log,7,3,e56c9fe83d6cf3e3ede4871d658344c40783f3dd8f5b0db53a25328d993c0758,epoch | train_loss | val_loss
data/processed/longformat_with_HPI_global.csv,processed/intermediate dataset,12936,9,a2046a249531395fbdd2eea13ffc2930b994ded9003138d7f96e87c6a7268547,sentence_id | Global_Gap | Semantic_Depth | Negation_Norm | model_error_col | is_error | model | HPI_global | HPI_bin
data/processed/longformat_with_globalHPI_cases.csv,processed/intermediate dataset,12936,11,0739ae6e7fc3ce31182cb3d81ed742730123d2a003976e3d0de3c11ba05e4601,sentence_id | Global_Gap | Semantic_Depth | Negation_Norm | model_error_col | is_error | model | HPI_global | HPI_bin | T_used | case_id
data/processed/longformat_with_globalHPI_cases_COMMON_THRESHOLD.csv,processed/intermediate dataset,12936,11,130ad1a5be49c9059d542fc343155a182cffacd0b4e7ffbf1c42632608c58475,sentence_id | Global_Gap | Semantic_Depth | Negation_Norm | model_error_col | is_error | model | HPI_global | HPI_bin | T_used | case_id
data/processed/shap_sample_indices.csv,processed/intermediate dataset,5660,1,01a832ac134da0e0df6128d247bcd2bbdc065b2b8e5d45133b2cacc3a8abcf4a,0
