model,case,token,token_category
BART,C3,satisfactory,content/domain
BART,C4,Deep,content/domain
BART,C4,bs,content/domain
BART,C4,outstanding,content/domain
BART,C4,).,punctuation
BART,C4,1997,number
BART,C4,suffered,content/domain
BART,C4,Table,content/domain
BART,C4,continues,content/domain
BART,C4,AI,content/domain
BART,C4,promising,evaluative
BART,C4,unnecessary,evaluative
BART,C4,crucial,content/domain
BART,C4,dependence,content/domain
BART,C4,2021,number
BART,C4,2021,number
BART,C4,contrasts,content/domain
BART,C4,et,content/domain
BART,C4,sentence,content/domain
BART,C4,reasonable,evaluative
BART,C4,],punctuation
BART,C4,improvements,content/domain
BART,C4,4,number
BART,C4,).,punctuation
BART,C4,1996,number
BART,C4,ineffective,evaluative
BART,C4,(,punctuation
BART,C4,s,content/domain
BART,C4,inefficient,evaluative
BART,C4,but,stopword
BART,C4,minimized,content/domain
BART,C4,needs,content/domain
BART,C4,states,content/domain
BART,C4,Collins,content/domain
BART,C4,over,stopword
BART,C4,learning,content/domain
BART,C4,3,number
BART,C4,follows,content/domain
BART,C4,1997,number
BART,C4,2003,number
BART,C4,excessive,content/domain
BART,C3,but,stopword
BART,C4,.,punctuation
BART,C4,",",punctuation
BART,C4,.,punctuation
BART,C4,et,content/domain
BART,C4,The,stopword
BART,C4,.,punctuation
BART,C3,.,punctuation
BART,C4,Despite,content/domain
BART,C3,2007,number
BART,C4,overlook,content/domain
BART,C4,).,punctuation
BART,C4,rare,content/domain
BART,C4,unreliable,content/domain
BART,C4,).,punctuation
BART,C4,Collins,content/domain
BART,C4,=,punctuation
BART,C4,).,punctuation
BART,C4,2019,number
BART,C4,demonstrates,content/domain
BART,C4,2005,number
BART,C4,publicly,content/domain
BART,C4,",",punctuation
BART,C4,(,punctuation
BART,C3,.,punctuation
BART,C4,on,stopword
BART,C3,our,stopword
BART,C4,).,punctuation
BART,C4,(,punctuation
BART,C4,Despite,content/domain
BART,C4,observations,content/domain
BART,C4,[,punctuation
BART,C4,[,punctuation
BART,C4,2024,number
BART,C4,2024,number
BART,C4,features,content/domain
BART,C4,).,punctuation
BART,C4,over,stopword
BART,C4,).,punctuation
BART,C4,crucial,content/domain
BART,C4,proposed,content/domain
BART,C4,provide,content/domain
BART,C4,problems,content/domain
BART,C4,recent,content/domain
BART,C4,overlook,content/domain
BART,C4,2024,number
BART,C3,and,stopword
BART,C4,),punctuation
BART,C4,).,punctuation
BART,C3,).,punctuation
BART,C4,demonstrates,content/domain
BART,C3,solution,content/domain
BART,C4,),punctuation
BART,C4,).,punctuation
BART,C4,popular,evaluative
BART,C4,et,content/domain
BART,C4,(,punctuation
BART,C4,3,number
BART,C4,],punctuation
BART,C4,(,punctuation
BART,C4,learning,content/domain
BART,C3,state,content/domain
BART,C3,well,content/domain
BART,C4,2025,number
BART,C4,.,punctuation
BART,C4,.,punctuation
BART,C4,],punctuation
BART,C4,models,content/domain
BART,C4,2024,number
BART,C4,unnecessary,evaluative
BART,C4,al,content/domain
BART,C4,",",punctuation
BART,C4,],punctuation
BART,C4,2024,number
BART,C4,promotes,content/domain
BART,C4,widely,content/domain
BART,C4,reduced,content/domain
BART,C4,).,punctuation
BART,C4,[,punctuation
BART,C4,",",punctuation
BART,C4,2024,number
BART,C4,suffered,content/domain
BART,C4,entropy,content/domain
BART,C4,found,content/domain
BART,C4,definitive,content/domain
BART,C4,and,stopword
BART,C4,however,content/domain
BART,C4,improvements,content/domain
BART,C4,.,punctuation
BART,C3,but,stopword
BART,C4,While,stopword
BART,C4,inadequate,content/domain
BART,C4,(,punctuation
BART,C4,2019,number
BART,C4,excessive,content/domain
BART,C4,2025,number
BART,C4,2025,number
BART,C4,.,punctuation
BART,C4,compelling,content/domain
BART,C4,2024,number
BART,C4,.,punctuation
BART,C4,s,content/domain
BART,C4,Another,content/domain
BART,C4,".,",punctuation
BART,C4,.,punctuation
BART,C4,2024,number
BART,C4,overhead,content/domain
BART,C4,expands,content/domain
BART,C4,still,content/domain
BART,C4,reliance,content/domain
BART,C4,],punctuation
BART,C4,However,content/domain
BART,C3,By,stopword
BART,C4,achieves,content/domain
BART,C4,On,stopword
BART,C4,Despite,content/domain
BART,C4,)',punctuation
BART,C4,demonstrates,content/domain
BART,C4,.,punctuation
BART,C4,satisfying,evaluative
BART,C4,],punctuation
BART,C4,not,negation
BART,C4,1995,number
BART,C4,is,stopword
BART,C4,good,evaluative
BART,C4,),punctuation
BART,C4,2022,number
BART,C4,demonstrates,content/domain
BART,C4,incompatible,content/domain
BART,C4,et,content/domain
BART,C4,outdated,content/domain
BART,C4,2003,number
BART,C4,.,punctuation
BART,C4,2024,number
BART,C4,novel,evaluative
BART,C4,demonstrates,content/domain
BART,C4,et,content/domain
BART,C4,concise,content/domain
BART,C4,As,stopword
BART,C4,F,content/domain
BART,C4,across,content/domain
BART,C4,across,content/domain
BART,C4,The,stopword
BART,C4,2024,number
BART,C4,convenient,content/domain
BART,C4,).,punctuation
BART,C4,[,punctuation
BART,C4,atable,content/domain
BART,C4,2024,number
BART,C4,(,punctuation
BART,C3,).,punctuation
BART,C4,We,stopword
BART,C4,overlook,content/domain
BART,C4,improving,content/domain
BART,C4,inspire,content/domain
BART,C4,Osborne,content/domain
BART,C4,s,content/domain
BART,C4,trouble,content/domain
BART,C4,developed,content/domain
BART,C4,is,stopword
BART,C4,overlook,content/domain
BART,C4,log,content/domain
BART,C4,2003,number
BART,C4,In,stopword
BART,C4,),punctuation
BART,C4,2025,number
BART,C4,continues,content/domain
BART,C4,inefficient,evaluative
BART,C4,2025,number
BART,C3,largest,content/domain
BART,C4,s,content/domain
BART,C4,),punctuation
BART,C4,2005,number
BART,C4,demonstrates,content/domain
BART,C4,states,content/domain
BART,C4,text,content/domain
BART,C4,proposed,content/domain
BART,C4,inadequate,content/domain
BART,C4,)',punctuation
BART,C4,versatility,content/domain
BART,C4,overhead,content/domain
BART,C4,suffered,content/domain
BART,C4,36,number
BART,C4,unpredictable,content/domain
BART,C4,not,negation
BART,C4,transparency,content/domain
BART,C4,breakthrough,content/domain
BART,C4,.,punctuation
BART,C4,[,punctuation
BART,C3,well,content/domain
BART,C4,2006,number
BART,C4,thoroughly,content/domain
BART,C4,not,negation
BART,C4,pressing,content/domain
BART,C4,).,punctuation
BART,C4,risks,content/domain
BART,C4,fully,content/domain
BART,C4,.,punctuation
BART,C4,",",punctuation
BART,C4,",",punctuation
BART,C4,improves,content/domain
BART,C4,cost,content/domain
BART,C3,sophisticated,content/domain
BART,C4,incompatible,content/domain
BART,C4,.,punctuation
BART,C4,required,content/domain
BART,C3,(,punctuation
BART,C3,not,negation
BART,C4,unfair,content/domain
BART,C4,does,stopword
BART,C4,Recently,content/domain
BART,C4,that,stopword
BART,C4,unrealistic,content/domain
BART,C4,problems,content/domain
BART,C4,Second,content/domain
BART,C4,study,content/domain
BART,C4,.,punctuation
BART,C4,actively,content/domain
BART,C4,learning,content/domain
BART,C4,[,punctuation
BART,C4,(,punctuation
BART,C4,2025,number
BART,C4,2024,number
BART,C4,2025,number
BART,C4,1992,number
BART,C4,effectively,content/domain
BART,C4,[,punctuation
BART,C3,lacks,content/domain
BART,C4,.,punctuation
BART,C4,study,content/domain
BART,C4,incomplete,content/domain
BART,C4,2025,number
BART,C4,useful,evaluative
BART,C4,).,punctuation
BART,C4,deep,content/domain
BART,C4,improve,content/domain
BART,C4,outper,content/domain
BART,C4,2007,number
BART,C4,.,punctuation
BART,C4,flawless,content/domain
BART,C4,",",punctuation
BART,C4,substantial,content/domain
BART,C4,demonstrates,content/domain
BART,C3,Recently,content/domain
BART,C4,overlook,content/domain
BART,C4,).,punctuation
BART,C4,not,negation
BART,C4,learning,content/domain
BART,C3,).,punctuation
BART,C3,achieve,content/domain
BART,C4,2024,number
BART,C4,1,number
BART,C4,cost,content/domain
BART,C4,.,punctuation
BART,C4,.,punctuation
BART,C4,],punctuation
BART,C4,diverse,content/domain
BART,C4,enhances,content/domain
BART,C4,iang,content/domain
BART,C4,],punctuation
BART,C4,does,stopword
BART,C4,.,punctuation
BART,C4,does,stopword
BART,C4,),punctuation
BART,C4,.,punctuation
BART,C4,In,stopword
BART,C4,not,negation
BART,C4,implemented,content/domain
BART,C4,T,content/domain
BART,C4,.,punctuation
BART,C4,Despite,content/domain
BART,C4,Deep,content/domain
BART,C4,2021,number
BART,C4,2003,number
BART,C4,],punctuation
BART,C4,1990,number
BART,C4,5,number
BART,C4,eliminated,content/domain
BART,C4,unstable,content/domain
BART,C4,2016,number
BART,C4,[,punctuation
BART,C4,innovative,content/domain
BART,C4,across,content/domain
BART,C4,impractical,content/domain
BART,C4,not,negation
BART,C4,mistakes,content/domain
BART,C4,unrealistic,content/domain
BART,C3,the,stopword
BART,C4,fails,content/domain
BART,C4,advancements,content/domain
BART,C4,not,negation
BART,C4,The,stopword
BART,C4,focus,content/domain
BART,C4,transparency,content/domain
BART,C4,31,number
BART,C4,study,content/domain
BART,C4,demonstrates,content/domain
BART,C4,.,punctuation
BART,C4,),punctuation
BART,C4,.,punctuation
BART,C4,.,punctuation
BART,C4,2021,number
BART,C4,(,punctuation
BART,C4,not,negation
BART,C4,[,punctuation
BART,C4,algorithms,content/domain
BART,C4,discredited,content/domain
BART,C4,[,punctuation
BART,C4,demonstrates,content/domain
BART,C4,",",punctuation
BART,C4,outdated,content/domain
BART,C4,not,negation
BART,C4,21,number
BART,C4,),punctuation
BART,C4,).,punctuation
BART,C4,problems,content/domain
BART,C4,all,stopword
BART,C4,best,evaluative
BART,C4,fail,content/domain
BART,C4,simplest,content/domain
BART,C4,).,punctuation
BART,C4,adapted,content/domain
BART,C4,reduced,content/domain
BART,C4,not,negation
BART,C4,well,content/domain
BART,C4,substantial,content/domain
BART,C4,board,content/domain
BART,C4,".,",punctuation
BART,C4,but,stopword
BART,C4,unnecessary,evaluative
BART,C4,unnecessary,evaluative
BART,C4,LOC,content/domain
BART,C4,guaranteed,content/domain
BART,C4,eleg,content/domain
BART,C4,not,negation
BART,C4,23,number
BART,C4,].,punctuation
BART,C4,Despite,content/domain
BART,C4,and,stopword
BART,C4,),punctuation
BART,C4,is,stopword
BART,C4,underscores,content/domain
BART,C4,2,number
BART,C4,robust,evaluative
BART,C4,unreliable,content/domain
BART,C4,2024,number
BART,C4,overlook,content/domain
BART,C3,et,content/domain
BART,C4,structure,content/domain
BART,C4,).,punctuation
BART,C4,2019,number
BART,C4,[,punctuation
BART,C4,Despite,content/domain
BART,C4,4,number
BART,C4,.,punctuation
BART,C4,Despite,content/domain
BART,C4,.,punctuation
BART,C4,",",punctuation
BART,C4,?,punctuation
BART,C4,well,content/domain
BART,C4,).,punctuation
BART,C4,adoption,content/domain
BART,C4,).,punctuation
BART,C4,art,content/domain
BART,C4,high,content/domain
BART,C3,make,content/domain
BART,C4,enabled,content/domain
BART,C4,.,punctuation
BART,C4,learning,content/domain
BART,C3,ably,content/domain
BART,C4,1996,number
BART,C4,.,punctuation
BART,C4,).,punctuation
BART,C3,(,punctuation
BART,C4,new,content/domain
BART,C4,redundant,content/domain
BART,C4,Collins,content/domain
BART,C4,but,stopword
BART,C4,",",punctuation
BART,C4,.,punctuation
BART,C4,not,negation
BART,C4,stronger,content/domain
BART,C4,instability,content/domain
BART,C4,23,number
BART,C4,",",punctuation
BART,C4,rarely,content/domain
BART,C4,high,content/domain
BART,C4,.,punctuation
BART,C4,The,stopword
BART,C4,2024,number
BART,C3,et,content/domain
BART,C4,et,content/domain
BART,C4,V,content/domain
BART,C4,16,number
BART,C4,11,number
BART,C4,guaranteed,content/domain
BART,C4,).,punctuation
BART,C4,versatility,content/domain
BART,C4,continues,content/domain
BART,C4,1993,number
BART,C4,highly,content/domain
BART,C4,which,content/domain
BART,C4,2025,number
BART,C4,ized,content/domain
BART,C4,provide,content/domain
BART,C4,not,negation
BART,C4,outdated,content/domain
BART,C4,).,punctuation
BART,C4,20,number
BART,C4,complexity,content/domain
BART,C4,To,stopword
BART,C4,[,punctuation
BART,C4,inefficient,evaluative
BART,C4,.,punctuation
BART,C3,highlighted,content/domain
BART,C4,states,content/domain
BART,C4,2022,number
BART,C4,)',punctuation
BART,C4,&,punctuation
BART,C3,outper,content/domain
BART,C4,adoption,content/domain
BART,C4,introduced,content/domain
BART,C4,convinc,content/domain
BART,C4,suffered,content/domain
BART,C4,to,stopword
BART,C4,",",punctuation
BART,C4,innovative,content/domain
BART,C4,2022,number
BART,C4,not,negation
BART,C4,impractical,content/domain
BART,C3,weaknesses,content/domain
BART,C4,As,stopword
BART,C4,meticulously,content/domain
BART,C4,2025,number
BART,C4,strong,evaluative
BART,C4,study,content/domain
BART,C4,complexity,content/domain
BART,C4,overlook,content/domain
BART,C4,inadequate,content/domain
BART,C4,does,stopword
BART,C4,.,punctuation
BART,C4,focus,content/domain
BART,C4,(,punctuation
BART,C4,Despite,content/domain
BART,C4,learning,content/domain
BART,C4,exemplary,content/domain
BART,C4,.,punctuation
BART,C4,2024,number
BART,C4,.,punctuation
BART,C4,continues,content/domain
BART,C4,),punctuation
BART,C4,competitive,evaluative
BART,C4,.,punctuation
BART,C4,focus,content/domain
BART,C4,overs,content/domain
BART,C4,).,punctuation
BART,C4,growing,content/domain
BART,C4,improve,content/domain
BART,C4,fairly,content/domain
BART,C4,authors,content/domain
BART,C4,falls,content/domain
BART,C3,",",punctuation
BART,C4,seminal,content/domain
BART,C4,2024,number
BART,C4,not,negation
BART,C4,manipulation,content/domain
BART,C4,.,punctuation
BART,C4,does,stopword
BART,C4,paradigm,content/domain
BART,C4,1996,number
BART,C4,achieved,content/domain
BART,C4,1990,number
BART,C4,case,content/domain
BART,C4,).,punctuation
BART,C4,consistent,content/domain
BART,C4,versatility,content/domain
BART,C4,.,punctuation
BART,C4,34,number
BART,C3,.,punctuation
BART,C4,learning,content/domain
BART,C4,.,punctuation
BART,C4,cost,content/domain
BART,C4,impractical,content/domain
BART,C4,5,number
BART,C4,limitations,evaluative
BART,C4,Despite,content/domain
BART,C4,.,punctuation
BART,C4,2024,number
BART,C4,",",punctuation
BART,C4,unnecessary,evaluative
BART,C4,2025,number
BART,C4,innovative,content/domain
BART,C4,compromised,content/domain
BART,C4,(,punctuation
BART,C4,unacceptable,content/domain
BART,C4,"),",punctuation
BART,C4,cannot,content/domain
BART,C4,).,punctuation
T5,C3,satisfactory,content/domain
T5,C4,.,punctuation
T5,C4,;,punctuation
T5,C4,The,stopword
T5,C4,of,stopword
T5,C4,probabil,content/domain
T5,C4,unstable,content/domain
T5,C4,We,stopword
T5,C4,growing,content/domain
T5,C4,excessive,content/domain
T5,C4,.,punctuation
T5,C4,claims,content/domain
T5,C4,role,content/domain
T5,C4,excessive,content/domain
T5,C4,",",punctuation
T5,C4,challenges,content/domain
T5,C4,contrast,content/domain
T5,C4,The,stopword
T5,C4,",",punctuation
T5,C4,model,content/domain
T5,C4,overhead,content/domain
T5,C4,processing,content/domain
T5,C4,.,punctuation
T5,C4,intuition,content/domain
T5,C4,maximum,content/domain
T5,C4,real,content/domain
T5,C4,1996),number
T5,C4,.,punctuation
T5,C4,.,punctuation
T5,C4,kernel,content/domain
T5,C4,(,punctuation
T5,C4,.,punctuation
T5,C4,to,stopword
T5,C4,The,stopword
T5,C4,attacks,content/domain
T5,C4,sky,content/domain
T5,C4,).,punctuation
T5,C4,condition,content/domain
T5,C4,",",punctuation
T5,C4,We,stopword
T5,C4,.,punctuation
T5,C3,in,stopword
T5,C4,Our,stopword
T5,C4,terms,content/domain
T5,C4,role,content/domain
T5,C4,significant,evaluative
T5,C4,",",punctuation
T5,C4,error,content/domain
T5,C3,gaz,content/domain
T5,C4,",",punctuation
T5,C3,positive,evaluative
T5,C4,.,punctuation
T5,C4,),punctuation
T5,C4,The,stopword
T5,C4,liable,content/domain
T5,C4,phrase,content/domain
T5,C4,set,content/domain
T5,C4,",",punctuation
T5,C4,",",punctuation
T5,C4,efficiencies,content/domain
T5,C4,s,content/domain
T5,C4,the,stopword
T5,C4,En,content/domain
T5,C4,mis,content/domain
T5,C4,and,stopword
T5,C3,",",punctuation
T5,C4,using,content/domain
T5,C4,used,content/domain
T5,C4,to,stopword
T5,C4,.,punctuation
T5,C4,",",punctuation
T5,C4,End,content/domain
T5,C4,approach,content/domain
T5,C4,method,content/domain
T5,C4,),punctuation
T5,C4,and,stopword
T5,C4,Select,content/domain
T5,C4,improve,content/domain
T5,C4,effect,content/domain
T5,C4,le,content/domain
T5,C4,role,content/domain
T5,C4,negative,evaluative
T5,C4,.,punctuation
T5,C4,introduce,content/domain
T5,C4,d,content/domain
T5,C4,.,punctuation
T5,C4,importance,content/domain
T5,C3,membrane,content/domain
T5,C4,David,content/domain
T5,C4,We,stopword
T5,C3,2007,number
T5,C4,s,content/domain
T5,C4,gives,content/domain
T5,C4,(,punctuation
T5,C4,2008,number
T5,C4,quality,content/domain
T5,C4,",",punctuation
T5,C4,ation,content/domain
T5,C4,get,content/domain
T5,C4,without,negation
T5,C4,",",punctuation
T5,C4,mis,content/domain
T5,C4,state,content/domain
T5,C3,confirming,content/domain
T5,C4,.,punctuation
T5,C4,we,stopword
T5,C4,relationship,content/domain
T5,C4,approach,content/domain
T5,C4,.,punctuation
T5,C4,",",punctuation
T5,C4,.,punctuation
T5,C4,shaw,content/domain
T5,C4,",",punctuation
T5,C4,without,negation
T5,C4,.,punctuation
T5,C4,the,stopword
T5,C4,innovative,content/domain
T5,C4,.,punctuation
T5,C4,In,stopword
T5,C4,The,stopword
T5,C4,5,number
T5,C4,",",punctuation
T5,C4,(,punctuation
T5,C4,an,stopword
T5,C4,It,stopword
T5,C4,definitive,content/domain
T5,C4,Open,content/domain
T5,C4,which,content/domain
T5,C4,small,content/domain
T5,C4,Collins,content/domain
T5,C4,Maximum,content/domain
T5,C4,tags,content/domain
T5,C4,Lee,content/domain
T5,C4,This,stopword
T5,C4,to,stopword
T5,C4,.,punctuation
T5,C4,improving,content/domain
T5,C4,(,punctuation
T5,C4,English,content/domain
T5,C4,methodology,content/domain
T5,C4,regulatory,content/domain
T5,C4,2,number
T5,C4,",",punctuation
T5,C4,with,stopword
T5,C4,approach,content/domain
T5,C4,approach,content/domain
T5,C4,d,content/domain
T5,C4,overhead,content/domain
T5,C4,",",punctuation
T5,C4,progress,content/domain
T5,C4,valid,content/domain
T5,C4,.,punctuation
T5,C4,(,punctuation
T5,C3,",",punctuation
T5,C4,.,punctuation
T5,C3,machine,content/domain
T5,C4,",",punctuation
T5,C4,in,stopword
T5,C4,s,content/domain
T5,C4,(,punctuation
T5,C4,detail,content/domain
T5,C4,results,content/domain
T5,C4,.,punctuation
T5,C4,the,stopword
T5,C4,(,punctuation
T5,C4,Our,stopword
T5,C4,not,negation
T5,C4,narrow,content/domain
T5,C4,s,content/domain
T5,C4,in,stopword
T5,C3,2008,number
T5,C4,outdated,content/domain
T5,C4,recent,content/domain
T5,C4,3,number
T5,C4,reduced,content/domain
T5,C4,MT,content/domain
T5,C4,.,punctuation
T5,C4,",",punctuation
T5,C4,2007,number
T5,C4,risks,content/domain
T5,C4,derivative,content/domain
T5,C4,.,punctuation
T5,C4,.,punctuation
T5,C4,(,punctuation
T5,C4,",",punctuation
T5,C4,",",punctuation
T5,C4,hypothesis,content/domain
T5,C4,(,punctuation
T5,C4,excellent,content/domain
T5,C4,sources,content/domain
T5,C4,",",punctuation
T5,C4,standard,content/domain
T5,C4,analyze,content/domain
T5,C4,.,punctuation
T5,C4,improving,content/domain
T5,C4,",",punctuation
T5,C4,errors,content/domain
T5,C4,.,punctuation
T5,C4,call,content/domain
T5,C4,Nie,content/domain
T5,C4,",",punctuation
T5,C4,.,punctuation
T5,C4,log,content/domain
T5,C4,",",punctuation
T5,C4,In,stopword
T5,C4,The,stopword
T5,C4,is,stopword
T5,C4,",",punctuation
T5,C4,efficient,evaluative
T5,C4,cia,content/domain
T5,C3,largest,content/domain
T5,C4,e,content/domain
T5,C4,our,stopword
T5,C4,performance,content/domain
T5,C4,s,content/domain
T5,C4,to,stopword
T5,C4,which,content/domain
T5,C3,].,punctuation
T5,C4,research,content/domain
T5,C4,",",punctuation
T5,C4,.,punctuation
T5,C4,introduced,content/domain
T5,C4,and,stopword
T5,C4,",",punctuation
T5,C4,growing,content/domain
T5,C4,in,stopword
T5,C4,.,punctuation
T5,C4,-,punctuation
T5,C4,Per,content/domain
T5,C4,method,content/domain
T5,C3,describes,content/domain
T5,C4,We,stopword
T5,C4,u,content/domain
T5,C4,.,punctuation
T5,C4,risks,content/domain
T5,C4,1996,number
T5,C4,risks,content/domain
T5,C4,",",punctuation
T5,C4,.,punctuation
T5,C4,minimum,content/domain
T5,C4,The,stopword
T5,C4,smaller,content/domain
T5,C4,tangible,content/domain
T5,C3,rule,content/domain
T5,C4,zero,content/domain
T5,C4,of,stopword
T5,C4,amount,content/domain
T5,C3,adopt,content/domain
T5,C3,number,content/domain
T5,C4,.,punctuation
T5,C4,contributions,content/domain
T5,C4,a,stopword
T5,C4,ing,content/domain
T5,C4,rendering,content/domain
T5,C4,problems,content/domain
T5,C4,(,punctuation
T5,C4,methodology,content/domain
T5,C4,S,content/domain
T5,C4,ways,content/domain
T5,C4,continues,content/domain
T5,C4,or,stopword
T5,C4,We,stopword
T5,C4,machinery,content/domain
T5,C4,off,stopword
T5,C4,.,punctuation
T5,C4,a,stopword
T5,C4,",",punctuation
T5,C4,method,content/domain
T5,C3,of,stopword
T5,C4,and,stopword
T5,C4,leaving,content/domain
T5,C4,positive,evaluative
T5,C4,introduced,content/domain
T5,C4,is,stopword
T5,C4,.,punctuation
T5,C4,role,content/domain
T5,C4,",",punctuation
T5,C4,to,stopword
T5,C4,commonly,content/domain
T5,C4,.,punctuation
T5,C4,.,punctuation
T5,C4,2007.,number
T5,C4,systems,content/domain
T5,C4,exceptional,evaluative
T5,C3,s,content/domain
T5,C4,.,punctuation
T5,C4,1997,number
T5,C4,.,punctuation
T5,C4,to,stopword
T5,C4,recall,content/domain
T5,C3,s,content/domain
T5,C4,writing,content/domain
T5,C4,production,content/domain
T5,C4,tangible,content/domain
T5,C4,2008,number
T5,C4,",",punctuation
T5,C4,without,negation
T5,C4,(,punctuation
T5,C4,enhance,content/domain
T5,C4,(,punctuation
T5,C4,overhead,content/domain
T5,C4,significant,evaluative
T5,C4,",",punctuation
T5,C4,.,punctuation
T5,C4,.,punctuation
T5,C4,T,content/domain
T5,C4,adopt,content/domain
T5,C4,.,punctuation
T5,C4,using,content/domain
T5,C4,",",punctuation
T5,C4,),punctuation
T5,C4,.,punctuation
T5,C4,.,punctuation
T5,C4,used,content/domain
T5,C4,",",punctuation
T5,C4,without,negation
T5,C4,(,punctuation
T5,C4,machine,content/domain
T5,C4,volume,content/domain
T5,C4,en,content/domain
T5,C4,.,punctuation
T5,C4,",",punctuation
T5,C4,faster,content/domain
T5,C4,.,punctuation
T5,C4,im,content/domain
T5,C4,While,stopword
T5,C4,discussing,content/domain
T5,C4,assumptions,content/domain
